pairs,datetime,orderbook,price,amounts
LTCEUR,"2022-03-02, 11:02:55",ask,135.17,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,135.2,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,135.31,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,135.44,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,135.47,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,135.52,0.44
LTCEUR,"2022-03-02, 11:02:55",ask,135.66,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,135.73,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,135.98,0.22
LTCEUR,"2022-03-02, 11:02:55",ask,136.0,0.8
LTCEUR,"2022-03-02, 11:02:55",ask,136.15,0.22
LTCEUR,"2022-03-02, 11:02:55",ask,136.26,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,136.56,3.57
LTCEUR,"2022-03-02, 11:02:55",ask,136.66,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,137.06,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,137.16,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,137.91,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,138.0,0.8
LTCEUR,"2022-03-02, 11:02:55",ask,138.1,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,138.21,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,138.65,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,138.9,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,139.6,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,140.14,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,140.27,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,140.9,4.62
LTCEUR,"2022-03-02, 11:02:55",ask,140.91,0.24
LTCEUR,"2022-03-02, 11:02:55",ask,140.99,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,141.7,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,141.91,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,142.25,5.46
LTCEUR,"2022-03-02, 11:02:55",ask,142.26,0.31
LTCEUR,"2022-03-02, 11:02:55",ask,142.28,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,142.33,6.96
LTCEUR,"2022-03-02, 11:02:55",ask,142.72,0.44
LTCEUR,"2022-03-02, 11:02:55",ask,142.73,0.41
LTCEUR,"2022-03-02, 11:02:55",ask,142.75,7.25
LTCEUR,"2022-03-02, 11:02:55",ask,142.8,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,142.93,9.65
LTCEUR,"2022-03-02, 11:02:55",ask,143.51,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,143.57,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,143.59,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,144.1,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,144.22,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,144.6,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,144.65,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,144.73,0.24
LTCEUR,"2022-03-02, 11:02:55",ask,144.77,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,144.83,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,144.94,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,144.96,0.33
LTCEUR,"2022-03-02, 11:02:55",ask,145.0,2.2
LTCEUR,"2022-03-02, 11:02:55",ask,145.12,0.31
LTCEUR,"2022-03-02, 11:02:55",ask,145.24,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,145.25,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,145.29,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,145.34,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,145.4,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,145.47,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,145.49,1.78
LTCEUR,"2022-03-02, 11:02:55",ask,145.63,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,145.69,0.21
