fund_id,open,high,low,close,average,weighted_average,base_volume,traded_volume,interval_starts_at,interval_ends_at
BTCEUR,38625.0,38799.99,38435.01,38550.0,38582.28779,38612.37648,33569.6001,0.8694,2022-02-07T21:00:00.000Z,2022-02-07T22:00:00.000Z
BTCEUR,38575.0,38695.25,38529.0,38649.15,38614.80692,38635.0315,9890.56803,0.256,2022-02-07T22:00:00.000Z,2022-02-07T23:00:00.000Z
BTCEUR,38649.15,38654.67,38214.0,38362.27,38420.57619,38282.86397,53561.55493,1.3991,2022-02-07T23:00:00.000Z,2022-02-08T00:00:00.000Z
BTCEUR,38362.27,38400.0,38047.53,38400.0,38245.42565,38145.46776,16780.19126,0.4399,2022-02-08T00:00:00.000Z,2022-02-08T01:00:00.000Z
BTCEUR,38400.0,38529.97,38400.0,38529.97,38472.63607,38481.18781,511.79978,0.0133,2022-02-08T01:00:00.000Z,2022-02-08T02:00:00.000Z
BTCEUR,38529.97,38610.59,38504.0,38504.0,38549.98633,38604.77149,2767.9621,0.0717,2022-02-08T02:00:00.000Z,2022-02-08T03:00:00.000Z
BTCEUR,38504.0,38571.18,38504.0,38571.18,38571.18,38571.18,119.57065,0.0031,2022-02-08T03:00:00.000Z,2022-02-08T04:00:00.000Z
BTCEUR,38571.18,38571.18,38571.18,38571.18,38571.18,38571.18,0.0,0.0,2022-02-08T04:00:00.000Z,2022-02-08T05:00:00.000Z
BTCEUR,38571.18,38571.18,38571.18,38571.18,38571.18,38571.18,0.0,0.0,2022-02-08T05:00:00.000Z,2022-02-08T06:00:00.000Z
BTCEUR,38571.18,39280.0,38571.18,39280.0,39277.585,39279.88219,805.23758,0.0205,2022-02-08T06:00:00.000Z,2022-02-08T07:00:00.000Z
BTCEUR,39280.0,39432.7,39031.84,39404.62,39280.59072,39120.38599,151161.17144,3.864,2022-02-08T07:00:00.000Z,2022-02-08T08:00:00.000Z
BTCEUR,39404.62,39438.0,38563.94,38689.43,38900.81562,38952.53747,17022.25879,0.437,2022-02-08T08:00:00.000Z,2022-02-08T09:00:00.000Z
BTCEUR,38612.63,38757.43,38189.4,38495.15,38540.20658,38530.34377,351419.85334,9.1206,2022-02-08T09:00:00.000Z,2022-02-08T10:00:00.000Z
BTCEUR,38495.15,38539.4,38308.61,38428.81,38423.86886,38345.41551,15042.90645,0.3923,2022-02-08T10:00:00.000Z,2022-02-08T11:00:00.000Z
BTCEUR,38428.81,38587.26,38376.81,38587.26,38477.61677,38481.17023,6357.08925,0.1652,2022-02-08T11:00:00.000Z,2022-02-08T12:00:00.000Z
BTCEUR,38588.14,38597.48,37867.29,37923.75,38150.17382,37972.93723,82762.01661,2.1795,2022-02-08T12:00:00.000Z,2022-02-08T13:00:00.000Z
BTCEUR,37923.75,38201.28,37923.75,38201.28,38102.3044,38126.57431,18830.71501,0.4939,2022-02-08T13:00:00.000Z,2022-02-08T14:00:00.000Z
BTCEUR,38224.01,38479.44,38224.01,38329.0,38336.06829,38308.25964,22582.71902,0.5895,2022-02-08T14:00:00.000Z,2022-02-08T15:00:00.000Z
BTCEUR,38284.4,38284.4,37716.34,38140.36,38000.21789,37995.91862,17820.08575,0.469,2022-02-08T15:00:00.000Z,2022-02-08T16:00:00.000Z
BTCEUR,38165.15,38375.45,37791.8,37791.8,38134.45782,38122.24855,20845.24544,0.5468,2022-02-08T16:00:00.000Z,2022-02-08T17:00:00.000Z
BTCEUR,37785.12,37851.92,37480.61,37704.0,37678.42822,37629.1938,52428.75561,1.3933,2022-02-08T17:00:00.000Z,2022-02-08T18:00:00.000Z
BTCEUR,37704.0,37975.0,37640.36,37762.32,37824.4045,37759.54616,22240.37263,0.589,2022-02-08T18:00:00.000Z,2022-02-08T19:00:00.000Z
BTCEUR,37762.32,37798.94,37552.16,37675.0,37683.89359,37650.6512,10406.63995,0.2764,2022-02-08T19:00:00.000Z,2022-02-08T20:00:00.000Z
BTCEUR,37675.0,38889.61,37675.0,38804.0,38262.06476,38617.16317,20324.21291,0.5263,2022-02-08T20:00:00.000Z,2022-02-08T21:00:00.000Z
BTCEUR,38804.0,38935.39,38629.0,38829.0,38794.86591,38787.66974,3246.5279,0.0837,2022-02-08T21:00:00.000Z,2022-02-08T22:00:00.000Z
BTCEUR,38829.0,38829.0,38557.61,38656.29,38709.312,38669.69975,18704.53375,0.4837,2022-02-08T22:00:00.000Z,2022-02-08T23:00:00.000Z
BTCEUR,38656.29,38785.12,38629.0,38629.0,38731.31106,38746.58032,56054.67774,1.4467,2022-02-08T23:00:00.000Z,2022-02-09T00:00:00.000Z
BTCEUR,38629.0,38788.92,38629.0,38750.0,38711.23183,38736.99171,2614.74693,0.0675,2022-02-09T00:00:00.000Z,2022-02-09T01:00:00.000Z
BTCEUR,38750.0,38774.83,38501.57,38501.57,38678.097,38731.64364,2513.68365,0.0649,2022-02-09T01:00:00.000Z,2022-02-09T02:00:00.000Z
BTCEUR,38501.57,38501.57,37929.0,37971.96,38172.71976,38079.3219,7962.38616,0.2091,2022-02-09T02:00:00.000Z,2022-02-09T03:00:00.000Z
BTCEUR,37971.96,38116.54,37954.0,37979.0,38039.294,38034.47449,2552.11318,0.0671,2022-02-09T03:00:00.000Z,2022-02-09T04:00:00.000Z
BTCEUR,37979.0,38184.81,37979.0,38171.4,38132.23209,38139.95765,1449.31836,0.038,2022-02-09T04:00:00.000Z,2022-02-09T05:00:00.000Z
BTCEUR,38171.4,38280.27,37896.33,38280.27,38045.72942,38046.45644,2933.38175,0.0771,2022-02-09T05:00:00.000Z,2022-02-09T06:00:00.000Z
BTCEUR,38280.27,38363.84,38279.98,38363.55,38325.75428,38331.65996,1103.95174,0.0288,2022-02-09T06:00:00.000Z,2022-02-09T07:00:00.000Z
BTCEUR,38363.55,38379.44,38000.0,38379.44,38151.14621,38072.24768,305613.54661,8.0272,2022-02-09T07:00:00.000Z,2022-02-09T08:00:00.000Z
BTCEUR,38379.44,38392.47,37952.52,38143.29,38182.88894,38213.32885,22519.11464,0.5893,2022-02-09T08:00:00.000Z,2022-02-09T09:00:00.000Z
